,Organization Name,Organization Name URL,Description,Founded Date,Total Funding Amount,Website,cb rank,ipo status,Number of Employees,Headquarters Location,Facebook,LinkedIn,Twitter,Industries,Headquarters Regions,Founders,Status,Funding Type,Also Known As,Legal Name,Related Hubs,Stock Symbol,Company Type,Exits,Estimated Revenue Range,Contact Email,Phone Number,Number of Lead Investments,Stock Symbol.1,Number of Exits,Total Funding Amount.1,Number of Funding Rounds,Number of Investments,Number of Current Team Members,Number of Board Members,Total Products Active,Downloads Last 30 Days,Active Tech Count,Monthly Visits,Monthly Visits Growth,Number of Articles,events,Number of Acquisitions,Number of Lead Investors,Number of Investors,Number of Diversity Investments,Full Description,IPqwery Patents Granted,IPqwery Trademarks Registered,IPqwery Most Popular Patent Class,Websites rank,Transaction Name,Transaction Name URL,Acquired by,Announced Date,Price
0,151 Products,https://www.crunchbase.com/organization/151-products,"151 Products is a brand that sells high quality, competitively priced products.",23-Jul-87,None,www.151.co.uk,"1,76,148",Private,51-100,"Manchester, Manchester, United Kingdom",None,None,None,"E-Commerce, Manufacturing",None,None,Active,None,None,None,None,None,For Profit,None,$1M to $10M,info@151.co.uk,44-161 839 5949,None,None,None,None,None,None,1,None,Tech,None,17,"5,106",11.66%,None,None,None,None,None,None,None,None,5,"Bleaching, cleaning, polishing, scouring and abrasive preparations; cosmetics,","17,24,060",None,None,None,None,None
1,Acacia,https://www.crunchbase.com/organization/acacia-communications,"Acacia develops, manufactures, and sells high-speed coherent optical interconnect products.",2009,$23M,www.acacia-inc.com/,"3,544",Public,51-100,"Maynard, Massachusetts, United States",https://www.facebook.com/pages/Acacia-Communications/121173171626113,https://www.linkedin.com/company/acaciacomms/,https://twitter.com/AcaciaComms,"Technology, Manufacturing, Software, Telecommunications, Web, Hosting",Greater Boston Area East Coast New England,"Benny Mikkelsen, Eric Swanson, Mehrdad Givehchi",Active,"Series, B",Acacia Communications,Acacia Communications Inc.,None,NASDAQ:ACIA,For Profit,None,$100M to $500M,info@acacia-inc.com,(978) 938-4896,None,NASDAQ:ACIA,None,$23M,4,None,5,3,25,None,58,"9,984",-51.22%,None,None,None,2,4,None,"Acacia develops, manufactures, and sells high-speed coherent optical interconnect products in the United States, China, Germany, Thailand, and internationally. It offers embedded and pluggable module products consisting of optical interconnect modules with transmission speeds ranging from 100 to 1,200 gigabits per second for use in long-haul,metro, and inter-data center markets.
Acacia also provides semiconductor products, such as low-power coherent digital signal processor application-specific integrated circuits and silicon photonic integrated circuits that are integrated into embedded and pluggable modules. It sells its products through a direct sales force to network equipment manufacturers, network operators, and cloud service providers.
Eric Swanson, Benny Mikkelsen, and Mehrdad Givehchi founded Acacia in 2009. It has its headquarters in Maynard in Massachusetts.",115,9,"Scientific and electric apparatus and instruments,","12,25,906",Acacia acquired by Cisco,https://www.crunchbase.com/acquisition/cisco-acquires-acacia-communications--1ca26c86,Cisco,Jul,$4.5B
2,ACI,https://www.crunchbase.com/organization/aci,ACI is a educational institution that teaches and certifies students in the business of sustainable concrete.,1904,None,www.concrete.org/,"92,968",Private,51-100,"Farmington Hills, Michigan, United States",https://www.facebook.com/79308249901,https://www.linkedin.com/company/american-concrete-institute/,https://www.twitter.com/concreteaci,"Education, Non, Profit",Greater Detroit Area Great Lakes Midwestern US,None,Active,None,American Concrete Institute,None,None,None,None,None,None,None,2488483801,None,None,None,None,None,1,1,None,17,None,43,"1,63,681",-7.01%,49,None,None,None,None,None,None,None,8,"Paper, cardboard and goods made from these materials,","1,94,430",None,None,None,None,None
3,ACI,https://www.crunchbase.com/organization/aci,ACI is a educational institution that teaches and certifies students in the business of sustainable concrete.,1904,None,www.concrete.org/,"92,968",Private,51-100,"Farmington Hills, Michigan, United States",https://www.facebook.com/79308249901,https://www.linkedin.com/company/american-concrete-institute/,https://www.twitter.com/concreteaci,"Education, Non, Profit",Greater Detroit Area Great Lakes Midwestern US,None,Active,None,American Concrete Institute,None,None,None,None,None,None,None,2488483801,None,None,None,None,None,1,1,None,17,None,43,"1,63,681",-7.01%,49,None,None,None,None,None,None,None,8,"Paper, cardboard and goods made from these materials,","1,94,430",None,None,None,None,None
4,ACI,https://www.crunchbase.com/organization/aci,ACI is a educational institution that teaches and certifies students in the business of sustainable concrete.,1904,None,www.concrete.org/,"92,968",Private,51-100,"Farmington Hills, Michigan, United States",https://www.facebook.com/79308249901,https://www.linkedin.com/company/american-concrete-institute/,https://www.twitter.com/concreteaci,"Education, Non, Profit",Greater Detroit Area Great Lakes Midwestern US,None,Active,None,American Concrete Institute,None,None,None,None,None,None,None,2488483801,None,None,None,None,None,1,1,None,17,None,43,"1,63,681",-7.01%,49,None,None,None,None,None,None,None,8,"Paper, cardboard and goods made from these materials,","1,94,430",None,None,None,None,None
5,Aditya Birla Retail,https://www.crunchbase.com/organization/aditya-birla-retail,"Aditya Birla Retail offers aluminium rolling, as well as produces primary aluminium and cement.",None,None,www.morestore.com,"2,00,510",Private,10001+,"Mumbai, Maharashtra, India",None,None,None,Shopping,Asia-Pacific (APAC),Sumant Sinha,Active,None,None,None,None,None,For Profit,None,$50M to $100M,None,None,None,None,None,None,None,None,1,None,14,None,86,"17,601",-39.05%,1,None,None,None,None,None,"The Aditya Birla Group has been ranked fourth in the world and first in Asia Pacific in the ‘Top Companies for Leaders’ study 2011, conducted by Aon Hewitt, Fortune Magazine and RBL (a strategic HR and leadership Advisory firm). The Group has topped the Nielsen's Corporate Image Monitor 2014-15 and emerged as the Number one corporate, the'Best in Class', for the third consecutive year.",None,None,None,"77,181",None,None,None,None,None
6,Aero Industries,https://www.crunchbase.com/organization/aero-industries,Aero Industries is a manufacturer of tarp systems and trailer accessories for the transportation industry.,1944,None,www.aeroindustries.com/,"2,79,653",Private,51-100,"Indianapolis, Indiana, United States",https://www.facebook.com/AeroIndustriesInc/,https://www.linkedin.com/company/aero-industries-inc/,None,"Manufacturing, Manufacturing, Transportation",Great Lakes Midwestern US,None,Active,None,None,Aero Industries Inc.,None,None,For Profit,None,$10M to $50M,None,800-535-9545,None,None,None,None,None,None,None,None,None,None,None,"3,430",52.17%,None,None,None,None,None,None,None,95,39,"Vehicles,","21,02,463",None,None,None,None,None
7,Alchemia,https://www.crunchbase.com/organization/alchemia,Alchemia Limited is a listed Australian biopharmaceutical company with an FDA approved drug and a late stage oncology product.,1995,None,www.alchemia.com.au/,"1,77,619",Public,Nov-50,"Eight Mile Plains, Queensland, Australia",None,https://www.linkedin.com/company/alchemia-limited,https://www.twitter.com/asxacl,"Biotechnology, Health, Care",Asia-Pacific (APAC) Australasia,None,Active,None,Alchemia LTD Alchemia Oncology Pty Ltd,Alchemia acquired by Panther Biotechnology,None,None,For Profit,None,None,enquiries@alchemia.com.au,61 7 3340 0200,None,None,None,None,None,None,2,None,7,None,14,None,None,None,None,None,None,None,None,None,17,None,None,None,Alchemia acquired by Panther Biotechnology,https://www.crunchbase.com/acquisition/panther-biotechnology-acquires-alchemia--35ebea73,Panther,Jul,None
8,Amstrad,https://www.crunchbase.com/organization/amstrad,"Amstrad Plc is a 100% subsidiary of BSkyB Plc. The company designs, develops and manufactures set top boxes for BSkyB and Sky Italia. The",2007,None,www.amstrad.com,"3,51,353",Private,51-100,"Brentwood, Essex, United Kingdom",None,None,None,"Manufacturing, Software",None,Alan Michael Sugar,Closed,None,None,Amstrad acquired by Sky UK,None,None,For Profit,None,Less than $1M,info@amstrad.com,4.40E+12,None,None,None,None,None,None,1,None,2,None,3,None,None,13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,Arkopharma,https://www.crunchbase.com/organization/arkopharma,Arkopharma is a pharmaceutical company.,1980,None,www.arkopharma.com/,"2,10,279",Private,1001-5000,"Carros, Provence-Alpes-Cote d'Azur, France",https://www.facebook.com/arkopharma,https://in.linkedin.com/company/arkopharma,https://twitter.com/arkopharma,Pharmaceutical,European Union (EU),None,Active,None,None,Arkopharma acquired by Montagu Private Equity,None,None,For Profit,None,None,None,33 4 93 29 11 28,None,None,None,None,None,None,4,None,22,None,36,"2,54,092",13.20%,1,None,None,None,None,None,None,None,None,None,"1,39,218",Arkopharma acquired by Montagu Private Equity,https://www.crunchbase.com/acquisition/montagu-private-equity-acquires-arkopharma--6ab4837f,Montagu,Jul,None
10,Arpita Agro Products,https://www.crunchbase.com/organization/arpita-agro-products,Arpita Agro Products founding principle was to create viable alternative products as substitutes to toxic products.,1992,None,www.arpitaagro.in,"1,70,938",Private,51-100,"Kolkata, West Bengal, India",https://www.facebook.com/PowerOfNeem,https://www.linkedin.com/company/arpita-agro-products-pvt-ltd---india,https://twitter.com/powerofneem,None,Asia-Pacific (APAC),None,Active,"Venture, -, Series, Unknown",None,None,None,None,For Profit,None,None,sales@arpitaagro.in,3340335000,None,None,None,None,1,None,None,None,Tech,None,7,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None
11,Asda,https://www.crunchbase.com/organization/asda,Asda owns and operates a chain of supermarkets that sell various products.,1949,None,www.asda.com/,"33,895",Private,10001+,"Humber, Herefordshire, United Kingdom",http://www.facebook.com/Asda,http://www.linkedin.com/company/asda,http://twitter.com/asda,None,None,"J.W. Hindell, Noel Stockdale",Active,None,None,Asda acquired by Sainsbury’s,None,None,For Profit,None,$10M to $50M,None,4.40E+12,None,None,None,None,None,None,7,None,65,"1,72,117",201,"4,58,43,703",-3.21%,"2,028",None,None,None,None,None,None,"2,587","1,450","Advertising; business,","1,097",Sainsbury’s,https://www.crunchbase.com/organization/sainsburys-supermarkets-ltd,Sainsbury’s,Apr,£7.3B
12,ATC Healthcare,https://www.crunchbase.com/organization/atc-healthcare-2,"ATC Healthcare Services, Inc. provides healthcare staffing services to doctors’ offices, hospitals, and healthcare facilities",1982,None,www.atchealthcare.com,"2,90,780",Private,10001+,"New Hyde Park, New York, United States",None,https://www.linkedin.com/company/atc-healthcare/?originalSubdomain=in,https://twitter.com/atchealthcare,"Care, Hospital",Greater New York Area East Coast Northeastern US,David Savitsky,Active,None,None,None,None,None,For Profit,None,$100M to $500M,None,866.562.7282,None,None,None,None,None,None,1,None,18,None,43,"3,687",-25.06%,1,None,None,None,None,None,None,None,None,None,"20,24,400",None,None,None,None,None
13,Auchan,https://www.crunchbase.com/organization/auchan,"Groupe Auchan SA is a French international retail group and multinational corporation headquartered in Croix, France",1961,None,www.auchan.fr/,"1,33,638",Private,10001+,"Croix, Picardie, France",https://www.facebook.com/auchan,None,https://www.twitter.com/auchan_france,"Grocery, Real, Estate, Retail",European Union (EU),None,Active,None,None,None,None,None,For Profit,None,$1M to $10M,None,None,None,None,None,None,None,None,2,None,51,"50,866",139,"2,20,42,608",-1%,86,None,None,None,None,None,None,None,178,"Meats and prepared or preserved foods; dairy products,","2,543",None,None,None,None,None
14,Avion,https://www.crunchbase.com/organization/avion-app,User story mapping for agile product teams,Jul-18,£300K,www.avion.io,"50,734",Private,01-Oct,"London, England, United Kingdom",None,https://www.linkedin.com/company/avion-app,https://twitter.com/avionapp,"Management, Productivity, Tools, Software, Software, Engineering, Task, Management",None,"James Sear, Tim Ramage",Active,Seed,None,Avion Ltd.,None,None,For Profit,None,None,None,None,None,None,None,£300K,1,None,None,None,19,None,73,"2,469",541.30%,1,None,None,1,1,None,None,None,None,None,"24,70,410",None,None,None,None,None
15,Avion,https://www.crunchbase.com/organization/avion,Avion is an autonomous aerial network that delivers medicals and vaccine supplies via drones.,07-Jul-07,$150K,www.avionuas.com/,"59,775",Private,01-Oct,"San Francisco, California, United States",None,https://www.linkedin.com/company/avion-uav/,None,"Drones, Medical",San Francisco Bay Area West Coast Western US,"Bitiya Samuel, Brook Ayalneh, Mohammed Ahmed",Active,Seed,None,None,None,None,For Profit,None,$1M to $10M,None,None,None,None,None,$150K,1,None,3,None,Tech,None,2,None,None,2,None,None,1,1,None,None,None,None,None,None,None,None,None,None,None
16,Bayer HealthCare,https://www.crunchbase.com/organization/bayer,"Bayer is a global enterprise with core competencies in the fields of health care, nutrition and high-tech materials.",29-Dec-06,None,www.bayerhealthcare.com,"1,13,257",Private,10001+,"Leverkusen, Nordrhein-Westfalen, Germany",None,None,None,"Diabetes, Health, Care",European Union (EU),None,Active,None,None,None,None,None,For Profit,None,None,bhc.fb@bayer.com,+49 214 300,None,None,None,None,None,None,20,2,2,None,18,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None
